algoritmo,tipo_caso,n,tiempo_medio,tiempo_mediana,tiempo_std,tiempo_min,tiempo_max,operaciones_moda,memoria_media
backtracking,mejor,4,8.060001709964126e-06,7.100003131199628e-06,3.0104833800810412e-06,5.399997462518513e-06,1.2600001355167478e-05,9,1.0578125
backtracking,mejor,5,5.7800003560259935e-06,5.800000508315861e-06,1.7888680032196635e-07,5.49999822396785e-06,6.000002031214535e-06,16,1.5703125
backtracking,mejor,6,6.660002691205591e-06,6.599999323952943e-06,2.7018435145917106e-07,6.400005077011883e-06,7.100003131199628e-06,25,1.8203125
backtracking,mejor,7,7.379997987300157e-06,7.399998139590025e-06,1.9235530529375754e-07,7.099995855242014e-06,7.599999662488699e-06,36,1.9296875
backtracking,mejor,8,8.159996650647371e-06,8.09999619377777e-06,1.5165866367612678e-07,7.999995432328433e-06,8.39999847812578e-06,49,2.1328125
backtracking,mejor,9,3.495999844744235e-05,9.2999980552122e-06,5.782536661836775e-05,8.700000762473792e-06,0.000138399998832,64,2.2203125
backtracking,mejor,10,9.560001490172e-06,9.60000033956021e-06,2.701840821511487e-07,9.10000380827114e-06,9.800001862458885e-06,81,2.5078125
backtracking,mejor,11,1.0620002285577359e-05,1.0600000678095968e-05,2.863559338123132e-07,1.0200004908256233e-05,1.1000003723893316e-05,100,2.6484375
backtracking,mejor,12,1.7100000695791097e-05,1.989999873330817e-05,5.251191530090919e-06,1.1099997209385036e-05,2.179999864893034e-05,121,2.9453125
backtracking,mejor,13,1.7039997328538447e-05,1.769999653333798e-05,3.7373803236735596e-06,1.2599994079209864e-05,2.189999941037968e-05,144,3.1015625
backtracking,mejor,14,1.3699999544769526e-05,1.3699995179194955e-05,1.581127861391941e-07,1.3500000932253895e-05,1.3899996702093633e-05,169,3.4453125
backtracking,mejor,15,3.32199997501402e-05,1.4899997040629389e-05,4.1862836190895165e-05,1.3600001693703234e-05,0.0001081000009435,196,3.6171875
backtracking,mejor,16,1.5700000221841038e-05,1.5400000847876072e-05,8.093234940556288e-07,1.4899997040629389e-05,1.700000575510785e-05,225,4.0078125
backtracking,mejor,17,1.821999903768301e-05,1.7599995771888644e-05,2.5772109139529427e-06,1.5799996617715806e-05,2.260000474052504e-05,256,4.1953125
backtracking,mejor,18,1.7759999900590627e-05,1.750000228639692e-05,5.727107877418345e-07,1.7300000763498247e-05,1.8699996871873736e-05,289,4.6953125
backtracking,mejor,19,2.0739999308716504e-05,1.989999873330817e-05,2.777228210783665e-06,1.870000414783135e-05,2.559999848017469e-05,324,6.8046875
backtracking,mejor,20,2.488000027369708e-05,2.25000039790757e-05,4.805932729577791e-06,2.1599997126031667e-05,3.309999738121405e-05,361,7.0859375
backtracking,mejor,21,2.1880000713281333e-05,2.200000017182901e-05,4.3817855965661685e-07,2.1200001356191933e-05,2.2400003217626363e-05,400,7.1015625
